Techniek,Volgorde modus,Context_gathering,Coach modus,Roeplay,feedback,techniek_id,default_mode_v3,roleplay_capable_v3,roleplay_default_v3,practice_unit_v3,learning_function_v3,context_depth_v3,context_layers_required_v3,artifacts_in_v3,artifacts_out_v3,recommended_bundle_v3,roleplay_initial_epic_phase_v3,roleplay_default_attitude_v3,persona_policy_v3,auto_offer_after_coach_turns_v3,gate_requires_artifacts_v3
2.1.5 Pingpong techniek,,"Beantwoordt hij zelf vragen, Of kaatst hij terug",,,,2.1.5,COACH_CHAT,False,False,EXPLORE_MICRO,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.6 Actief luisteren,,"Luistert hij echt, Of denkt hij al aan antwoord",,,,2.1.6,COACH_CHAT,False,False,EXPLORE_MICRO,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.1.1 Bron,,"Via welke kanalen komen klanten, Vraagt hij ernaar",,,,2.1.1.1,COACH_CHAT,False,False,DISCOVERY_THEME_DRILL,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.1.2 Motivatie,,"Vraagt hij naar aanleiding, Weet hij waar klant zit op buying clock",,,,2.1.1.2,COACH_CHAT,False,False,DISCOVERY_THEME_DRILL,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.1.3 Ervaring,,"Vraagt hij naar eerdere ervaringen, Past hij uitleg aan",,,,2.1.1.3,COACH_CHAT,False,False,DISCOVERY_THEME_DRILL,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.1.4 Verwachtingen,,"Vraagt hij expliciet naar verwachtingen, Prioriteert hij ze",,,,2.1.1.4,COACH_CHAT,False,False,DISCOVERY_THEME_DRILL,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.1.5 Alternatieven,,"Vraagt hij naar concurrenten, Durft hij dat",,,,2.1.1.5,COACH_CHAT,False,False,DISCOVERY_THEME_DRILL,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.1.6 Budget,,"Vraagt hij naar budget, Hoe doet hij dat, Vindt hij het lastig",,,,2.1.1.6,COACH_CHAT,False,False,DISCOVERY_THEME_DRILL,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.1.7 Timing,,"Vraagt hij naar deadline, Synchroniseert hij zijn proces",,,,2.1.1.7,COACH_CHAT,False,False,DISCOVERY_THEME_DRILL,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.1.1.8 Beslissingscriteria,,"Vraagt hij wie beslist, Kent hij de DMU",,,,2.1.1.8,COACH_CHAT,False,False,DISCOVERY_THEME_DRILL,COACH_TRANSLATE,LIGHT,base,,,2.1,,,,,
2.2 Probe,,"Gebruikt hij hypothetische vragen, Of blijft hij bij feiten",,,,2.2,COACH_CHAT,False,False,PROBE,COACH_TRANSLATE,STANDARD,"base,scenario",,,,,,,,
2.3 Impact vragen,,"Vraagt hij naar gevolgen, Creëert hij urgentie",,,,2.3,COACH_CHAT,False,False,IMPACT,COACH_TRANSLATE,STANDARD,"base,scenario",,,,,,,,
2.4 Commitment,,"Vraagt hij bevestiging, Of gaat hij zomaar door naar fase 3",,,,2.4,COACH_CHAT,False,False,COMMIT,COACH_TRANSLATE,STANDARD,"base,scenario",,,,,,,,
3 - Aanbevelingsfase,,—,,,,3,COACH_CHAT_THEN_ROLEPLAY,True,True,PHASE3_RECOMMEND_FULL,ROLEPLAY_INTEGRATED,DEEP,"base,scenario,value_map,objection_bank",discovery_brief,offer_brief,,commit,,reuse_scenario_snapshot_if_available,,
3.1 Empathie tonen,,"Erkent hij klant eerst, Of duikt hij direct in oplossing",,,,3.1,COACH_CHAT,False,False,PHASE3_MICRO,COACH_TRANSLATE,LIGHT,base,discovery_brief,,3,,,,,
3.2 Oplossing presenteren,,"Hoe presenteert hij nu, Koppelt hij aan behoefte",,,,3.2,COACH_CHAT,False,False,PHASE3_MICRO,COACH_TRANSLATE,LIGHT,base,discovery_brief,,3,,,,,
3.3 Voordeel benoemen,,Noemt hij features of voordelen,,,,3.3,COACH_CHAT,False,False,PHASE3_MICRO,COACH_TRANSLATE,LIGHT,base,discovery_brief,,3,,,,,
3.4 Baat vertalen,,"Vertaalt hij naar wat klant eraan heeft, Of blijft hij bij product",,,,3.4,COACH_CHAT,False,False,PHASE3_MICRO,COACH_TRANSLATE,LIGHT,base,discovery_brief,,3,,,,,
3.5 Mening vragen,,"Vraagt hij feedback, Of praat hij door",,,,3.5,COACH_CHAT,False,False,PHASE3_MICRO,COACH_TRANSLATE,LIGHT,base,discovery_brief,,3,,,,,
3.6 Technisch voorrekenen,,"Kan hij ROI uitleggen, Heeft hij cijfers paraat",,,,3.6,COACH_CHAT,False,False,PHASE3_MICRO,COACH_TRANSLATE,LIGHT,base,discovery_brief,,3,,,,,
3.7 Baten samenvatten,,Vat hij samen in klantwoorden,,,,3.7,COACH_CHAT,False,False,PHASE3_MICRO,COACH_TRANSLATE,LIGHT,base,discovery_brief,,3,,,,,
4 - Beslissingsfase,,—,,,,4,COACH_CHAT_THEN_ROLEPLAY,True,True,PHASE4_CLOSING_FULL,ROLEPLAY_INTEGRATED,DEEP,"base,scenario,value_map,objection_bank",offer_brief,,,commit,,reuse_scenario_snapshot_if_available,,
4.1 Proefafsluiting,,"Durft hij te peilen, Hoe doet hij dat nu",,,,4.1,COACH_CHAT_THEN_ROLEPLAY,True,True,PHASE4_MISC,ROLEPLAY_DRILL,DEEP,"base,scenario,value_map,objection_bank",,,,commit,,reuse_scenario_snapshot_if_available,,
4.ABC ABC-techniek,,Vraagt hij continu kleine commitments,,,,4,COACH_CHAT_THEN_ROLEPLAY,True,True,PHASE4_CLOSING_FULL,ROLEPLAY_INTEGRATED,DEEP,"base,scenario,value_map,objection_bank",offer_brief,,,commit,,reuse_scenario_snapshot_if_available,,
4.INDIEN Indien-techniek,,"Gebruikt hij ""indien"", Of blijft hij hangen",,,,4,COACH_CHAT_THEN_ROLEPLAY,True,True,PHASE4_CLOSING_FULL,ROLEPLAY_INTEGRATED,DEEP,"base,scenario,value_map,objection_bank",offer_brief,,,commit,,reuse_scenario_snapshot_if_available,,
4.2 Afritten behandelen,,"Welke afritten komen vaak, Hoe reageert hij nu",,,,4.2,,,,,,,,,,,,,,,
4.2.1 Klant stelt vragen,,Beantwoordt hij of vraagt hij door,,,,4.2.1,COACH_CHAT_THEN_ROLEPLAY,True,True,AFRITTEN,ROLEPLAY_DRILL,DEEP,"base,scenario,value_map,objection_bank",offer_brief,,4.2,commit,vraag,reuse_scenario_snapshot_if_available,,
4.2.2 Twijfels,,"Welke twijfels hoort hij vaak, Hoe tackelt hij ze",,,,4.2.2,COACH_CHAT_THEN_ROLEPLAY,True,True,AFRITTEN,ROLEPLAY_DRILL,DEEP,"base,scenario,value_map,objection_bank",offer_brief,,4.2,commit,twijfel,reuse_scenario_snapshot_if_available,,
4.2.3 Uitstel,,"Welke uitstelredenen krijgt hij, Accepteert hij te snel",,,,4.2.3,COACH_CHAT_THEN_ROLEPLAY,True,True,AFRITTEN,ROLEPLAY_DRILL,DEEP,"base,scenario,value_map,objection_bank",offer_brief,,4.2,commit,uitstel,reuse_scenario_snapshot_if_available,,
4.2.4 Bezwaren,,"Typische bezwaren in zijn sector, Hoe reageert hij",,,,4.2.4,COACH_CHAT_THEN_ROLEPLAY,True,True,AFRITTEN,ROLEPLAY_DRILL,DEEP,"base,scenario,value_map,objection_bank",offer_brief,,4.2,commit,bezwaar,reuse_scenario_snapshot_if_available,,
4.2.5 Angst,,"Welke angsten hebben zijn klanten, Herkent hij ze, Hoe gaat hij ermee om",,,,4.2.5,COACH_CHAT_THEN_ROLEPLAY,True,True,AFRITTEN,ROLEPLAY_DRILL,DEEP,"base,scenario,value_map,objection_bank",offer_brief,,4.2,commit,angst,reuse_scenario_snapshot_if_available,,
4.2.6 Risico-inschatting,,"Welke risico's zien klanten, Hoe neemt hij ze weg",,,,4.2.6,COACH_CHAT_THEN_ROLEPLAY,True,True,AFRITTEN,ROLEPLAY_DRILL,DEEP,"base,scenario,value_map,objection_bank",offer_brief,,4.2,commit,,reuse_scenario_snapshot_if_available,,
4.3 Finale Closing,,"Durft hij te closen, Waar hapert het",,,,4.3,COACH_CHAT_THEN_ROLEPLAY,True,True,PHASE4_MISC,ROLEPLAY_DRILL,DEEP,"base,scenario,value_map,objection_bank",,,,commit,,reuse_scenario_snapshot_if_available,,
4.3.1-4.3.5,,"Welke stappen slaat hij over, Waar voelt hij zich onzeker",,,,4.3.1,COACH_CHAT_THEN_ROLEPLAY,True,True,CLOSING_TECHNIQUES,ROLEPLAY_DRILL,DEEP,"base,scenario,value_map,objection_bank",,,,commit,,reuse_scenario_snapshot_if_available,,
v,,,,,,,,,,,,,,,,,,,,,
